file_id,cell_id,EOL,initial_capacity
FastCharge_000000_CH19_structure.json,el150800440551,484,1.0454259
FastCharge_000001_CH16_structure.json,el150800737229,666,1.0620247999999999
FastCharge_000001_CH30_structure.json,el150800737366,772,1.0678786
FastCharge_000001_CH38_structure.json,el150800737234,541,1.0512739
FastCharge_000002_CH10_structure.json,el150800737329,1009,1.0665728
FastCharge_000002_CH18_structure.json,el150800737233,828,1.0636606000000002
FastCharge_000002_CH2_structure.json,el150800737315,813,1.063777
FastCharge_000002_CH34_structure.json,el150800737368,825,1.0451530999999998
FastCharge_000002_CH42_structure.json,el150800737304,1284,1.0594152000000001
FastCharge_000002_CH47_structure.json,el150800737334,1935,1.0691597
FastCharge_000002_CH7_structure.json,el150800737367,1046,1.0691667999999999
FastCharge_000003_CH39_structure.json,EL150800460525,742,1.0739927
FastCharge_000003_CH40_structure.json,EL150800460622,703,1.0681152
FastCharge_000005_CH18_structure.json,el150800460480,508,1.0610169
FastCharge_000006_CH11_structure.json,el150800737313,1063,1.0642239
FastCharge_000006_CH19_structure.json,el150800737270,1039,1.0683683000000002
FastCharge_000006_CH27_structure.json,el150800737378,1315,1.0653081
FastCharge_000006_CH35_structure.json,el150800737259,989,1.0600798999999999
FastCharge_000006_CH3_structure.json,EL150800737380,935,1.0674757
FastCharge_000006_CH43_structure.json,el150800737350,1158,1.0602307
FastCharge_000006_CH48_structure.json,el150800737361,1156,1.0464231
FastCharge_000006_CH8_structure.json,el150800737369,940,1.0686373
FastCharge_000007_CH24_structure.json,el150800737386,876,1.0677625
FastCharge_000007_CH39_structure.json,el150800737320,858,1.0652004
FastCharge_000008_CH47_structure.json,EL150800460485,616,1.0817878
FastCharge_000008_CH48_structure.json,EL150800460656,599,1.0810224
FastCharge_000009_CH4_structure.json,el150800460597,511,1.0639789
FastCharge_000009_CH7_structure.json,el150800460611,475,1.0640886999999999
FastCharge_000009_CH8_structure.json,el150800460596,482,1.0733846000000002
FastCharge_000010_CH44_structure.json,el150800460498,474,1.0691837
FastCharge_000011_CH26_structure.json,el150800460604,509,1.0699197
FastCharge_000012_CH13_structure.json,el150800737280,1115,1.0622736000000002
FastCharge_000012_CH15_structure.json,el150800737213,827,1.0500578999999999
FastCharge_000012_CH21_structure.json,el150800737314,932,1.0731678
FastCharge_000012_CH23_structure.json,el150800737387,858,1.0716274
FastCharge_000012_CH29_structure.json,el150800737275,1155,1.0706265
FastCharge_000012_CH37_structure.json,el150800737251,850,1.0592589
FastCharge_000012_CH45_structure.json,el150800737365,923,1.0573761000000002
FastCharge_000012_CH5_structure.json,el150800739495,786,1.0491925
FastCharge_000013_CH13_structure.json,EL150800463980,905,1.0729031999999998
FastCharge_000013_CH14_structure.json,EL150800463882,788,1.0507991
FastCharge_000014_CH23_structure.json,EL150800460653,862,1.0785451000000001
FastCharge_000014_CH24_structure.json,EL150800460522,857,1.0697117
FastCharge_000015_CH12_structure.json,el150800737294,1267,1.0600003999999998
FastCharge_000015_CH14_structure.json,el150800739476,1048,1.0717411000000001
FastCharge_000015_CH20_structure.json,el150800737276,817,1.0673251
FastCharge_000015_CH22_structure.json,el150800737319,816,1.0642038999999999
FastCharge_000015_CH28_structure.json,el150800737274,1146,1.0674671999999998
