file_id,cell_id,delta_v_mean_c10_c50,delta_v_std_c10_c50,delta_v_var_c10_c50,delta_v_min_c10_c50,delta_v_max_c10_c50,delta_v_mean_c10_c100,delta_v_std_c10_c100,delta_v_var_c10_c100,delta_v_min_c10_c100,delta_v_max_c10_c100
FastCharge_000000_CH19_structure.json,el150800440551,-0.009918403522524624,0.013447898806546121,0.0001808459823111046,-0.06371847458893942,0.014154376261141799,-0.021258524988290818,0.019940881608198607,0.0003976387593121935,-0.10769228053101543,0.017056964873726876
FastCharge_000001_CH16_structure.json,el150800737229,-0.006082592755477649,0.010647147463465326,0.00011336174910877614,-0.06240342397852672,0.015408131593686036,-0.01523427930746021,0.019767016346861812,0.00039073493525710213,-0.11284166915025073,0.00909035992300744
FastCharge_000001_CH30_structure.json,el150800737366,-0.004506459197535331,0.008267885620895189,6.83579326402054e-05,-0.04936719854047267,0.008575574357525984,-0.012929777719718937,0.016717509901912397,0.000279475137320539,-0.09777856338396385,0.009893756359899974
FastCharge_000001_CH38_structure.json,el150800737234,-0.006736841190012578,0.010249485494713849,0.00010505195290634959,-0.06019108291175268,0.010153471504591227,-0.017996201590381195,0.02043805764442862,0.0004177142002769871,-0.11715337622587674,0.006450123819925935
FastCharge_000002_CH10_structure.json,el150800737329,-0.0008155958081969112,0.0040402292165349985,1.6323452122143007e-05,-0.023264165797050484,0.021749011137678576,-0.006160553920449841,0.009935092731894512,9.870606759134315e-05,-0.0591279122267232,0.03156626500304194
FastCharge_000002_CH18_structure.json,el150800737233,-0.001761261388950107,0.004507275488443835,2.0315532328726612e-05,-0.02545013761233683,0.01934679354694291,-0.008083659895834313,0.011134507871805891,0.00012397726554730736,-0.06518347825102389,0.0136582221350241
FastCharge_000002_CH2_structure.json,el150800737315,-0.0023832815381786047,0.004691178900728812,2.200715947864318e-05,-0.024921063842049396,0.018226523299156305,-0.008744838234860686,0.011367997279657278,0.00012923136215029526,-0.06477556216731406,0.008674672010615225
FastCharge_000002_CH34_structure.json,el150800737368,-0.0015937159041984664,0.004284388248361512,1.8355982662698228e-05,-0.024270875784149215,0.007464987756086394,-0.007229745027842896,0.01044459203035786,0.0001090895026806149,-0.06031913941723532,0.009497044825084622
FastCharge_000002_CH42_structure.json,el150800737304,-0.0012858210071906827,0.0037507961632145966,1.4068471857985337e-05,-0.02057483306147434,0.008085367311033043,-0.005325969590617795,0.00911484047638823,8.308031691000522e-05,-0.05343936201275756,0.00858902233331671
FastCharge_000002_CH47_structure.json,el150800737334,-0.000417727559317314,0.0038701880145496034,1.4978355267963402e-05,-0.023011846113615952,0.014068124732973697,-0.004709699297391274,0.009131997992715713,8.339338733896379e-05,-0.05584463978136922,0.0120080886523386
FastCharge_000002_CH7_structure.json,el150800737367,-0.0025978934960138545,0.00519590616078717,2.699744083170607e-05,-0.03165655294798331,0.011543726129457532,0.0007504595313784054,0.005969317216339861,3.563274802929147e-05,-0.037468824088732866,0.012297073054488461
FastCharge_000003_CH39_structure.json,EL150800460525,-0.0027733714608213196,0.005966381256498041,3.559770529789115e-05,-0.034832274667378815,0.001736226224322568,-0.009633278502837135,0.013019719476121922,0.00016951309523690852,-0.07439298351954893,0.009902111751766807
FastCharge_000003_CH40_structure.json,EL150800460622,-0.0032857812822526112,0.006111612869823115,3.735181187058754e-05,-0.03462664802731519,0.04145489530657631,-0.012300068592280873,0.014125255752849498,0.00019952285008340782,-0.0825599237051442,0.010834351285035293
FastCharge_000005_CH18_structure.json,el150800460480,-0.0052097315824342905,0.0076575343433863885,5.8637832220142e-05,-0.04540179863961891,0.004378328479953009,-0.01492870606006025,0.0189137843073593,0.0003577312368253109,-0.1037138246778726,0.028352297666250248
