file_id,cell_id,split
FastCharge_000015_CH4_structure.json,el150800737390,test
FastCharge_000002_CH18_structure.json,el150800737233,train
FastCharge_000002_CH10_structure.json,el150800737329,train
FastCharge_000039_CH27_structure.json,EL150800460507,train
FastCharge_000013_CH14_structure.json,EL150800463882,test
FastCharge_000073_CH35_structure.json,el150800460492,train
FastCharge_000045_CH2_structure.json,EL150800460486,train
FastCharge_000037_CH22_structure.json,EL150800460658,train
FastCharge_000024_CH45_structure.json,el150800460474,train
FastCharge_000067_CH41_structure.json,EL150800453773,train
FastCharge_000006_CH19_structure.json,el150800737270,test
FastCharge_000012_CH13_structure.json,el150800737280,test
FastCharge_000056_CH11_structure.json,el150800460602,test
FastCharge_000039_CH28_structure.json,EL150800460644,train
FastCharge_000015_CH12_structure.json,el150800737294,train
FastCharge_000044_CH12_structure.json,EL150800463871,train
FastCharge_000013_CH13_structure.json,EL150800463980,val
FastCharge_000021_CH28_structure.json,el150800460510,train
FastCharge_000018_CH18_structure.json,EL150800464881,val
FastCharge_000006_CH11_structure.json,el150800737313,val
FastCharge_000066_CH25_structure.json,EL150800460630,train
FastCharge_000062_CH47_structure.json,el150800460678,train
FastCharge_000036_CH48_structure.json,el150800460599,train
FastCharge_000006_CH3_structure.json,EL150800737380,train
FastCharge_000000_CH19_structure.json,el150800440551,val
FastCharge_000032_CH22_structure.json,el150800463245,train
FastCharge_000030_CH30_structure.json,el150800460449,val
FastCharge_000015_CH14_structure.json,el150800739476,test
FastCharge_000045_CH3_structure.json,EL150800460623,train
FastCharge_000051_CH16_structure.json,EL150800453113,train
FastCharge_000063_CH6_structure.json,EL150800464865,train
FastCharge_000005_CH18_structure.json,el150800460480,test
FastCharge_000012_CH15_structure.json,el150800737213,train
FastCharge_000072_CH34_structure.json,el150800460641,train
FastCharge_000064_CH39_structure.json,el150800460649,train
FastCharge_000001_CH16_structure.json,el150800737229,train
FastCharge_000037_CH21_structure.json,EL150800460472,val
FastCharge_000028_CH20_structure.json,EL150800460468,train
FastCharge_000071_CH40_structure.json,el150800460627,train
FastCharge_000045_CH1_structure.json,EL150800460514,train
FastCharge_000041_CH10_structure.json,el150800460605,val
FastCharge_000065_CH33_structure.json,EL150800460659,train
FastCharge_000020_CH23_structure.json,el150800460501,test
FastCharge_000066_CH26_structure.json,EL150800460617,train
FastCharge_000044_CH11_structure.json,EL150800464002,val
FastCharge_000022_CH24_structure.json,el150800460614,test
FastCharge_000025_CH7_structure.json,EL150800464883,train
FastCharge_000054_CH15_structure.json,el150800460634,test
FastCharge_000065_CH34_structure.json,EL150800463198,train
FastCharge_000061_CH43_structure.json,el150800460473,train
FastCharge_000067_CH42_structure.json,EL150800460642,train
FastCharge_000016_CH17_structure.json,el150800460478,val
FastCharge_000006_CH8_structure.json,el150800737369,train
FastCharge_000070_CH46_structure.json,el150800460613,train
FastCharge_000017_CH17_structure.json,el150800737307,train
FastCharge_000023_CH38_structure.json,EL150800460601,val
FastCharge_000068_CH38_structure.json,el150800460511,test
FastCharge_000027_CH31_structure.json,el150800460527,train
FastCharge_000034_CH27_structure.json,el150800460466,train
FastCharge_000069_CH25_structure.json,el150800460610,train
FastCharge_000060_CH29_structure.json,el150800463208,val
FastCharge_000043_CH16_structure.json,el150800460451,train
FastCharge_000023_CH37_structure.json,EL150800460506,train
FastCharge_000051_CH15_structure.json,EL150800463838,train
FastCharge_000063_CH5_structure.json,EL150800464977,val
FastCharge_000019_CH29_structure.json,EL150800460640,train
FastCharge_000014_CH23_structure.json,EL150800460653,val
FastCharge_000012_CH37_structure.json,el150800737251,test
FastCharge_000006_CH35_structure.json,el150800737259,train
FastCharge_000057_CH35_structure.json,EL150800460615,train
FastCharge_000053_CH42_structure.json,el150800460513,train
